Chromosome,Fitness,kP,kI,kD
101110111100100101100101010100101011111100000100000010101101001000111111111011110011110111101100,0.5355505433800013,0.7335418057627976,0.7461554300971329,0.2497442914173007
110011011010001000101100101101011110001000111100111010111010011100110011101110010001100010100100,0.5722749517068569,0.8032558385748416,0.8837420733179897,0.20204309467226267
111010110000100100111101001110111001011111110010111001001010100100011010110110000011110000011011,0.6610348543918254,0.9181097287219018,0.5935500061605126,0.1048619810026139
010111100001011001100011001000100011110100101010011101101011110101001110110011111000011111110101,0.30173137371841063,0.36752910213544965,0.23892919649370015,0.3078541730064899
111001001001100100111100000011110000011000011001011110011100100100010100101010001000000011001101,0.6683344370065571,0.8929631744977087,0.023826228687539697,0.0806961536873132
001110111110011010111000100001110010101001111101111010001000100101110100001110000001001101010100,0.18989324396942703,0.23398927017115057,0.16598370880819857,0.4539806442335248
011100001101011110010001101010100111111101100010010100000100011100011110001001000011110010111110,0.5792005018456946,0.44078932190313935,0.49759389623068273,0.11774043692275882
001110110100110100001000100111010101010110001000011011110001100101001001111101000001000001100001,0.3364099274154797,0.23164419014938176,0.33411306724883616,0.28888037079013884
011111100111111111011100000101110101010011100000101001010110101101100010010111000100011010111010,0.2979185171091397,0.4941384845878929,0.3315528284292668,0.384220524225384
100101100001100101110110011011110000100011100101111001010010110001001010111011101111001110110010,0.40906780346698035,0.5863260289188474,0.034757922403514385,0.29270861716941
101000110000100000010110101000010110010000011100010001100111000010000001101010011100011111000000,0.292435278610904,0.6368421691004187,0.39105644449591637,0.5064968913793564
011100011011011000010000100000101100100110001011110110100011010011100000001101110010110001111100,0.33603524886808717,0.4441843335516751,0.787290227599442,0.8758418848738074
111111001111110100011010110000011111011011010101110001011001101001011010001010100001110011000011,0.5295980183642296,0.9882370682898909,0.9641994000412524,0.3522050834726542
011110011101001000001110011110011001010100000010010110110111000011110011101001110001011110001110,0.3050591778068914,0.47586145834065974,0.5820672176778316,0.9517683717422187
110101111001111100111001000101001101111100001000101101101001011110001000000110110001100001001010,0.34029068165427856,0.8422732995823026,0.8712267035152763,0.5316634350456297
110111011111010100000001000110101000001111010110010010000010100001011010111010000000110000011110,0.4889336528716234,0.867019718978554,0.5149884317070246,0.3551032613031566
111001101010010010011101000010010100011101010010010011000111101111001100111011110011101110100111,0.27423665496874244,0.9009493014309555,0.2785995292942971,0.8005254061426967
000100111101111110001010111110100100100110101111100000010110010101110110110101000100100000011011,0,0.07762974360957742,0.28783425060100853,0.4641766611021012
110110101101010011101101011000000110001001010000100110001100011100011000110001000010011100100011,0.6582109129333448,0.8548115119338036,0.38404230936430395,0.09674305538646877
110000110011000100110011010101001000011010001110101101110011010101011100010111000101101111100101,0.4341770793426889,0.7624694900587201,0.525615168036893,0.36078428593464196
010111011111000010111001011110111000110101101010001000000111010001111110101101010110010110000001,0.3324224632891487,0.3669544148724526,0.5524006159976125,0.49495539092458785
000001101101000100010111000111101000101111101110011010011011001011011001000000011010101000011010,0,0.026627964805811644,0.546606641728431,0.847681647632271
